name,team,battingStyle,bowlingStyle,playingRole
Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter
Gulbadin Naib,Afghanistan,Gulbadeen Naib,Right hand Bat,
Aryan Lakra,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Bowler
Karthik Meiyappan,United Arab Emirates,Right hand Bat,Legbreak,Bowler
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler
Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder
Aaron Finch,Australia,Finchy,Right hand Bat,
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,
Babar Azam,Pakistan,Right hand Bat,Right arm Offbreak,Batter
Chirag Suri,United Arab Emirates,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter
KL Rahul,India,Right hand Bat,Wicketkeeper,Opening Batter
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter
Danushka Gunathilaka,Sri Lanka,Dana,Left hand Bat,
Calum MacLeod,Scotland,"Cloudy, Highlander, Scot",Right hand Bat,
Tom Cooper,Netherlands,Coops,Right hand Bat,
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder
Pathum Nissanka,Sri Lanka,Right hand Bat,Top order Batter,"Isipathana College, Colombo"
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter
Kashif Daud,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Afif Hossain,Bangladesh,Dhrubo,Left hand Bat,
Mohammad Rizwan,Pakistan,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Moeen Ali,England,Moe,Left hand Bat,
Mujeeb Ur Rahman,Afghanistan,Mujeeb Zadran,Right hand Bat,
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder
Bhuvneshwar Kumar,India,Right hand Bat,Right arm Medium,Bowler
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler
Adil Rashid,England,"Dilly, Hoover",Right hand Bat,
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder
Zawar Farid,United Arab Emirates,Right hand Bat,Right arm Medium,Bowler
Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,
Craig Ervine,Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter
Chris Jordan,England,CJ,Right hand Bat,
Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,Bowler
Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder
Sikandar Raza,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler
Mosaddek Hossain,Bangladesh,Saikat,Right hand Bat,
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Shakib Al Hasan,Bangladesh,Saqibul Hasan,Left hand Bat,
Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder
Basil Hameed,United Arab Emirates,Right hand Bat,Right arm Offbreak,Middle order Batter
Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter
Chundangapoyil Rizwan,United Arab Emirates,Right hand Bat,Legbreak Googly,Middle order Batter
Haider Ali,Pakistan,Right hand Bat,Middle order Batter,
Matthew Wade,Australia,Wadey,Left hand Bat,
Brandon King,West Indies,Right hand Bat,Top order Batter,
Dawid Malan,England,AC,Left hand Bat,
Liam Livingstone,England,Right hand Bat,Legbreak,Batting Allrounder
Junaid Siddique,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler
Wayne Parnell,South Africa,"Pigeon, Parny",Left hand Bat,
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter
Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler
Harry Brook,England,Right hand Bat,Right arm Medium,Batter
Kusal Mendis,Sri Lanka,Right hand Bat,Legbreak,
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,
